mode,n_ops,repeat,total_ms,avg_ms_per_op,tps,threads,mean_ms,stddev_ms,min_ms,max_ms,iqr_ms,k_value
STANDARD,1000,1,5273.811,5.273811,189.62,1,,,,,,
STANDARD,1000,2,5243.548,5.243548,190.71,1,,,,,,
STANDARD,1000,3,5112.860,5.112860,195.59,1,,,,,,
STANDARD,1000,4,5247.259,5.247259,190.58,1,,,,,,
STANDARD,1000,5,3368.292,3.368292,296.89,1,,,,,,
STANDARD,1000,6,3683.781,3.683781,271.46,1,,,,,,
STANDARD,1000,7,3395.285,3.395285,294.53,1,,,,,,
STANDARD,1000,8,3219.664,3.219664,310.59,1,,,,,,
STANDARD,1000,9,3232.704,3.232704,309.34,1,,,,,,
STANDARD,1000,10,3418.964,3.418964,292.49,1,,,,,,
STANDARD,1000,11,3339.270,3.339270,299.47,1,,,,,,
STANDARD,1000,12,3399.916,3.399916,294.12,1,,,,,,
STANDARD,1000,13,3346.520,3.346520,298.82,1,,,,,,
STANDARD,1000,14,3285.777,3.285777,304.34,1,,,,,,
STANDARD,1000,15,3336.702,3.336702,299.70,1,,,,,,
STANDARD,1000,16,3527.952,3.527952,283.45,1,,,,,,
STANDARD,1000,17,3348.872,3.348872,298.61,1,,,,,,
STANDARD,1000,18,3275.760,3.275760,305.27,1,,,,,,
STANDARD,1000,19,3229.503,3.229503,309.65,1,,,,,,
STANDARD,1000,20,3301.375,3.301375,302.90,1,,,,,,
STANDARD,1000,21,3557.267,3.557267,281.11,1,,,,,,
STANDARD,1000,22,3280.376,3.280376,304.84,1,,,,,,
STANDARD,1000,23,3259.109,3.259109,306.83,1,,,,,,
STANDARD,1000,24,3261.264,3.261264,306.63,1,,,,,,
STANDARD,1000,25,3201.671,3.201671,312.34,1,,,,,,
STANDARD,1000,26,3216.703,3.216703,310.88,1,,,,,,
STANDARD,1000,27,3228.660,3.228660,309.73,1,,,,,,
STANDARD,1000,28,3373.684,3.373684,296.41,1,,,,,,
STANDARD,1000,29,3261.820,3.261820,306.58,1,,,,,,
STANDARD,1000,30,3259.866,3.259866,306.76,1,,,,,,
STANDARD,1000,-1,3337.986,3.337986,299.58,1,3582.941,662.055,3201.671,5273.811,153.986,
STANDARD,5000,1,16341.963,3.268393,305.96,1,,,,,,
STANDARD,5000,2,16301.088,3.260218,306.73,1,,,,,,
STANDARD,5000,3,16305.694,3.261139,306.64,1,,,,,,
STANDARD,5000,4,16240.320,3.248064,307.88,1,,,,,,
STANDARD,5000,5,16358.496,3.271699,305.65,1,,,,,,
STANDARD,5000,6,16026.287,3.205257,311.99,1,,,,,,
STANDARD,5000,7,16266.678,3.253336,307.38,1,,,,,,
STANDARD,5000,8,16306.068,3.261214,306.63,1,,,,,,
STANDARD,5000,9,16309.667,3.261933,306.57,1,,,,,,
STANDARD,5000,10,16210.225,3.242045,308.45,1,,,,,,
STANDARD,5000,11,16294.351,3.258870,306.85,1,,,,,,
STANDARD,5000,12,16297.751,3.259550,306.79,1,,,,,,
STANDARD,5000,13,16167.287,3.233457,309.27,1,,,,,,
STANDARD,5000,14,16234.400,3.246880,307.99,1,,,,,,
STANDARD,5000,15,16480.690,3.296138,303.39,1,,,,,,
STANDARD,5000,16,16316.858,3.263372,306.43,1,,,,,,
STANDARD,5000,17,16256.646,3.251329,307.57,1,,,,,,
STANDARD,5000,18,16223.047,3.244609,308.20,1,,,,,,
STANDARD,5000,19,16256.736,3.251347,307.56,1,,,,,,
STANDARD,5000,20,16346.491,3.269298,305.88,1,,,,,,
STANDARD,5000,21,16266.366,3.253273,307.38,1,,,,,,
STANDARD,5000,22,16199.586,3.239917,308.65,1,,,,,,
STANDARD,5000,23,16163.661,3.232732,309.34,1,,,,,,
STANDARD,5000,24,16289.308,3.257862,306.95,1,,,,,,
STANDARD,5000,25,16237.774,3.247555,307.92,1,,,,,,
STANDARD,5000,26,16167.718,3.233544,309.26,1,,,,,,
STANDARD,5000,27,16272.728,3.254546,307.26,1,,,,,,
STANDARD,5000,28,16244.649,3.248930,307.79,1,,,,,,
STANDARD,5000,29,16132.340,3.226468,309.94,1,,,,,,
STANDARD,5000,30,16187.980,3.237596,308.87,1,,,,,,
STANDARD,5000,-1,16261.551,3.252310,307.47,1,16256.762,82.918,16026.287,16480.690,91.112,
STANDARD,10000,1,32471.649,3.247165,307.96,1,,,,,,
STANDARD,10000,2,32314.371,3.231437,309.46,1,,,,,,
STANDARD,10000,3,32335.892,3.233589,309.25,1,,,,,,
STANDARD,10000,4,32133.877,3.213388,311.20,1,,,,,,
STANDARD,10000,5,32402.301,3.240230,308.62,1,,,,,,
STANDARD,10000,6,32378.511,3.237851,308.85,1,,,,,,
STANDARD,10000,7,32465.832,3.246583,308.02,1,,,,,,
STANDARD,10000,8,32307.846,3.230785,309.52,1,,,,,,
STANDARD,10000,9,32533.672,3.253367,307.37,1,,,,,,
STANDARD,10000,10,32593.959,3.259396,306.81,1,,,,,,
STANDARD,10000,11,32314.833,3.231483,309.46,1,,,,,,
STANDARD,10000,12,32596.931,3.259693,306.78,1,,,,,,
STANDARD,10000,13,32488.728,3.248873,307.80,1,,,,,,
STANDARD,10000,14,32478.080,3.247808,307.90,1,,,,,,
STANDARD,10000,15,32438.056,3.243806,308.28,1,,,,,,
STANDARD,10000,16,32586.044,3.258604,306.88,1,,,,,,
STANDARD,10000,17,32478.150,3.247815,307.90,1,,,,,,
STANDARD,10000,18,32566.748,3.256675,307.06,1,,,,,,
STANDARD,10000,19,34748.078,3.474808,287.79,1,,,,,,
STANDARD,10000,20,41984.110,4.198411,238.19,1,,,,,,
STANDARD,10000,21,45186.711,4.518671,221.30,1,,,,,,
STANDARD,10000,22,45578.211,4.557821,219.40,1,,,,,,
STANDARD,10000,23,35690.063,3.569006,280.19,1,,,,,,
STANDARD,10000,24,44538.451,4.453845,224.53,1,,,,,,
STANDARD,10000,25,37120.702,3.712070,269.39,1,,,,,,
STANDARD,10000,26,42562.723,4.256272,234.95,1,,,,,,
STANDARD,10000,27,35856.944,3.585694,278.89,1,,,,,,
STANDARD,10000,28,32279.742,3.227974,309.79,1,,,,,,
STANDARD,10000,29,31876.238,3.187624,313.71,1,,,,,,
STANDARD,10000,30,31253.147,3.125315,319.97,1,,,,,,
STANDARD,10000,-1,32483.439,3.248344,307.85,1,34752.020,4418.406,31253.147,45578.211,3108.020,
STANDARD,50000,1,157036.017,3.140720,318.40,1,,,,,,
STANDARD,50000,2,158053.727,3.161075,316.35,1,,,,,,
STANDARD,50000,3,161265.305,3.225306,310.05,1,,,,,,
STANDARD,50000,4,157483.397,3.149668,317.49,1,,,,,,
STANDARD,50000,5,157871.954,3.157439,316.71,1,,,,,,
STANDARD,50000,6,159754.842,3.195097,312.98,1,,,,,,
STANDARD,50000,7,161155.185,3.223104,310.26,1,,,,,,
STANDARD,50000,8,164049.597,3.280992,304.79,1,,,,,,
STANDARD,50000,9,188611.710,3.772234,265.09,1,,,,,,
STANDARD,50000,10,199740.239,3.994805,250.33,1,,,,,,
STANDARD,50000,11,186551.958,3.731039,268.02,1,,,,,,
STANDARD,50000,12,159472.118,3.189442,313.53,1,,,,,,
STANDARD,50000,13,159453.026,3.189061,313.57,1,,,,,,
STANDARD,50000,14,162988.617,3.259772,306.77,1,,,,,,
STANDARD,50000,15,159971.357,3.199427,312.56,1,,,,,,
STANDARD,50000,16,161435.272,3.228705,309.72,1,,,,,,
STANDARD,50000,17,163754.455,3.275089,305.34,1,,,,,,
STANDARD,50000,18,161109.054,3.222181,310.35,1,,,,,,
STANDARD,50000,19,164132.538,3.282651,304.63,1,,,,,,
STANDARD,50000,20,162123.123,3.242462,308.41,1,,,,,,
STANDARD,50000,21,162773.243,3.255465,307.18,1,,,,,,
STANDARD,50000,22,162194.990,3.243900,308.27,1,,,,,,
STANDARD,50000,23,161783.554,3.235671,309.05,1,,,,,,
STANDARD,50000,24,186981.831,3.739637,267.41,1,,,,,,
STANDARD,50000,25,213727.543,4.274551,233.94,1,,,,,,
STANDARD,50000,26,160158.351,3.203167,312.19,1,,,,,,
STANDARD,50000,27,159977.920,3.199558,312.54,1,,,,,,
STANDARD,50000,28,159952.272,3.199045,312.59,1,,,,,,
STANDARD,50000,29,159910.026,3.198201,312.68,1,,,,,,
STANDARD,50000,30,160011.495,3.200230,312.48,1,,,,,,
STANDARD,50000,-1,161210.245,3.224205,310.15,1,166449.490,13867.291,157036.017,213727.543,3642.408,
STANDARD,100000,1,324830.595,3.248306,307.85,1,,,,,,
STANDARD,100000,2,325312.588,3.253126,307.40,1,,,,,,
STANDARD,100000,3,327730.711,3.277307,305.13,1,,,,,,
STANDARD,100000,4,331078.873,3.310789,302.04,1,,,,,,
STANDARD,100000,5,332263.462,3.322635,300.97,1,,,,,,
STANDARD,100000,6,327436.356,3.274364,305.40,1,,,,,,
STANDARD,100000,7,324154.394,3.241544,308.49,1,,,,,,
STANDARD,100000,8,324490.228,3.244902,308.18,1,,,,,,
STANDARD,100000,9,324962.681,3.249627,307.73,1,,,,,,
STANDARD,100000,10,378443.355,3.784434,264.24,1,,,,,,
STANDARD,100000,11,324998.833,3.249988,307.69,1,,,,,,
